Gene	Exon	Pos_IMGT	Pos_1000G
HLA-A	2	1	29910534
HLA-A	2	2	29910535
HLA-A	2	3	29910536
HLA-A	2	4	29910537
HLA-A	2	5	29910538
HLA-A	2	6	29910539
HLA-A	2	7	29910540
HLA-A	2	8	29910541
HLA-A	2	9	29910542
HLA-A	2	10	29910543
HLA-A	2	11	29910544
HLA-A	2	12	29910545
HLA-A	2	13	29910546
HLA-A	2	14	29910547
HLA-A	2	15	29910548
HLA-A	2	16	29910549
HLA-A	2	17	29910550
HLA-A	2	18	29910551
HLA-A	2	19	29910552
HLA-A	2	20	29910553
HLA-A	2	21	29910554
HLA-A	2	22	29910555
HLA-A	2	23	29910556
HLA-A	2	24	29910557
HLA-A	2	25	29910558
HLA-A	2	26	29910559
HLA-A	2	27	29910560
HLA-A	2	28	29910561
HLA-A	2	29	29910562
HLA-A	2	30	29910563
HLA-A	2	31	29910564
HLA-A	2	32	29910565
HLA-A	2	33	29910566
HLA-A	2	34	29910567
HLA-A	2	35	29910568
HLA-A	2	36	29910569
HLA-A	2	37	29910570
HLA-A	2	38	29910571
HLA-A	2	39	29910572
HLA-A	2	40	29910573
HLA-A	2	41	29910574
HLA-A	2	42	29910575
HLA-A	2	43	29910576
HLA-A	2	44	29910577
HLA-A	2	45	29910578
HLA-A	2	46	29910579
HLA-A	2	47	29910580
HLA-A	2	48	29910581
HLA-A	2	49	29910582
HLA-A	2	50	29910583
HLA-A	2	51	29910584
HLA-A	2	52	29910585
HLA-A	2	53	29910586
HLA-A	2	54	29910587
HLA-A	2	55	29910588
HLA-A	2	56	29910589
HLA-A	2	57	29910590
HLA-A	2	58	29910591
HLA-A	2	59	29910592
HLA-A	2	60	29910593
HLA-A	2	61	29910594
HLA-A	2	62	29910595
HLA-A	2	63	29910596
HLA-A	2	64	29910597
HLA-A	2	65	29910598
HLA-A	2	66	29910599
HLA-A	2	67	29910600
HLA-A	2	68	29910601
HLA-A	2	69	29910602
HLA-A	2	70	29910603
HLA-A	2	71	29910604
HLA-A	2	72	29910605
HLA-A	2	73	29910606
HLA-A	2	74	29910607
HLA-A	2	75	29910608
HLA-A	2	76	29910609
HLA-A	2	77	29910610
HLA-A	2	78	29910611
HLA-A	2	79	29910612
HLA-A	2	80	29910613
HLA-A	2	81	29910614
HLA-A	2	82	29910615
HLA-A	2	83	29910616
HLA-A	2	84	29910617
HLA-A	2	85	29910618
HLA-A	2	86	29910619
HLA-A	2	87	29910620
HLA-A	2	88	29910621
HLA-A	2	89	29910622
HLA-A	2	90	29910623
HLA-A	2	91	29910624
HLA-A	2	92	29910625
HLA-A	2	93	29910626
HLA-A	2	94	29910627
HLA-A	2	95	29910628
HLA-A	2	96	29910629
HLA-A	2	97	29910630
HLA-A	2	98	29910631
HLA-A	2	99	29910632
HLA-A	2	100	29910633
HLA-A	2	101	29910634
HLA-A	2	102	29910635
HLA-A	2	103	29910636
HLA-A	2	104	29910637
HLA-A	2	105	29910638
HLA-A	2	106	29910639
HLA-A	2	107	29910640
HLA-A	2	108	29910641
HLA-A	2	109	29910642
HLA-A	2	110	29910643
HLA-A	2	111	29910644
HLA-A	2	112	29910645
HLA-A	2	113	29910646
HLA-A	2	114	29910647
HLA-A	2	115	29910648
HLA-A	2	116	29910649
HLA-A	2	117	29910650
HLA-A	2	118	29910651
HLA-A	2	119	29910652
HLA-A	2	120	29910653
HLA-A	2	121	29910654
HLA-A	2	122	29910655
HLA-A	2	123	29910656
HLA-A	2	124	29910657
HLA-A	2	125	29910658
HLA-A	2	126	29910659
HLA-A	2	127	29910660
HLA-A	2	128	29910661
HLA-A	2	129	29910662
HLA-A	2	130	29910663
HLA-A	2	131	29910664
HLA-A	2	132	29910665
HLA-A	2	133	29910666
HLA-A	2	134	29910667
HLA-A	2	135	29910668
HLA-A	2	136	29910669
HLA-A	2	137	29910670
HLA-A	2	138	29910671
HLA-A	2	139	29910672
HLA-A	2	140	29910673
HLA-A	2	141	29910674
HLA-A	2	142	29910675
HLA-A	2	143	29910676
HLA-A	2	144	29910677
HLA-A	2	145	29910678
HLA-A	2	146	29910679
HLA-A	2	147	29910680
HLA-A	2	148	29910681
HLA-A	2	149	29910682
HLA-A	2	150	29910683
HLA-A	2	151	29910684
HLA-A	2	152	29910685
HLA-A	2	153	29910686
HLA-A	2	154	29910687
HLA-A	2	155	29910688
HLA-A	2	156	29910689
HLA-A	2	157	29910690
HLA-A	2	158	29910691
HLA-A	2	159	29910692
HLA-A	2	160	29910693
HLA-A	2	161	29910694
HLA-A	2	162	29910695
HLA-A	2	163	29910696
HLA-A	2	164	29910697
HLA-A	2	165	29910698
HLA-A	2	166	29910699
HLA-A	2	167	29910700
HLA-A	2	168	29910701
HLA-A	2	169	29910702
HLA-A	2	170	29910703
HLA-A	2	171	29910704
HLA-A	2	172	29910705
HLA-A	2	173	29910706
HLA-A	2	174	29910707
HLA-A	2	175	29910708
HLA-A	2	176	29910709
HLA-A	2	177	29910710
HLA-A	2	178	29910711
HLA-A	2	179	29910712
HLA-A	2	180	29910713
HLA-A	2	181	29910714
HLA-A	2	182	29910715
HLA-A	2	183	29910716
HLA-A	2	184	29910717
HLA-A	2	185	29910718
HLA-A	2	186	29910719
HLA-A	2	187	29910720
HLA-A	2	188	29910721
HLA-A	2	189	29910722
HLA-A	2	190	29910723
HLA-A	2	191	29910724
HLA-A	2	192	29910725
HLA-A	2	193	29910726
HLA-A	2	194	29910727
HLA-A	2	195	29910728
HLA-A	2	196	29910729
HLA-A	2	197	29910730
HLA-A	2	198	29910731
HLA-A	2	199	29910732
HLA-A	2	200	29910733
HLA-A	2	201	29910734
HLA-A	2	202	29910735
HLA-A	2	203	29910736
HLA-A	2	204	29910737
HLA-A	2	205	29910738
HLA-A	2	206	29910739
HLA-A	2	207	29910740
HLA-A	2	208	29910741
HLA-A	2	209	29910742
HLA-A	2	210	29910743
HLA-A	2	211	29910744
HLA-A	2	212	29910745
HLA-A	2	213	29910746
HLA-A	2	214	29910747
HLA-A	2	215	29910748
HLA-A	2	216	29910749
HLA-A	2	217	29910750
HLA-A	2	218	29910751
HLA-A	2	219	29910752
HLA-A	2	220	29910753
HLA-A	2	221	29910754
HLA-A	2	222	29910755
HLA-A	2	223	29910756
HLA-A	2	224	29910757
HLA-A	2	225	29910758
HLA-A	2	226	29910759
HLA-A	2	227	29910760
HLA-A	2	228	29910761
HLA-A	2	229	29910762
HLA-A	2	230	29910763
HLA-A	2	231	29910764
HLA-A	2	232	29910765
HLA-A	2	233	29910766
HLA-A	2	234	29910767
HLA-A	2	235	29910768
HLA-A	2	236	29910769
HLA-A	2	237	29910770
HLA-A	2	238	29910771
HLA-A	2	239	29910772
HLA-A	2	240	29910773
HLA-A	2	241	29910774
HLA-A	2	242	29910775
HLA-A	2	243	29910776
HLA-A	2	244	29910777
HLA-A	2	245	29910778
HLA-A	2	246	29910779
HLA-A	2	247	29910780
HLA-A	2	248	29910781
HLA-A	2	249	29910782
HLA-A	2	250	29910783
HLA-A	2	251	29910784
HLA-A	2	252	29910785
HLA-A	2	253	29910786
HLA-A	2	254	29910787
HLA-A	2	255	29910788
HLA-A	2	256	29910789
HLA-A	2	257	29910790
HLA-A	2	258	29910791
HLA-A	2	259	29910792
HLA-A	2	260	29910793
HLA-A	2	261	29910794
HLA-A	2	262	29910795
HLA-A	2	263	29910796
HLA-A	2	264	29910797
HLA-A	2	265	29910798
HLA-A	2	266	29910799
HLA-A	2	267	29910800
HLA-A	2	268	29910801
HLA-A	2	269	29910802
HLA-A	2	270	29910803
HLA-A	3	271	29911045
HLA-A	3	272	29911046
HLA-A	3	273	29911047
HLA-A	3	274	29911048
HLA-A	3	275	29911049
HLA-A	3	276	29911050
HLA-A	3	277	29911051
HLA-A	3	278	29911052
HLA-A	3	279	29911053
HLA-A	3	280	29911054
HLA-A	3	281	29911055
HLA-A	3	282	29911056
HLA-A	3	283	29911057
HLA-A	3	284	29911058
HLA-A	3	285	29911059
HLA-A	3	286	29911060
HLA-A	3	287	29911061
HLA-A	3	288	29911062
HLA-A	3	289	29911063
HLA-A	3	290	29911064
HLA-A	3	291	29911065
HLA-A	3	292	29911066
HLA-A	3	293	29911067
HLA-A	3	294	29911068
HLA-A	3	295	29911069
HLA-A	3	296	29911070
HLA-A	3	297	29911071
HLA-A	3	298	29911072
HLA-A	3	299	29911073
HLA-A	3	300	29911074
HLA-A	3	301	29911075
HLA-A	3	302	29911076
HLA-A	3	303	29911077
HLA-A	3	304	29911078
HLA-A	3	305	29911079
HLA-A	3	306	29911080
HLA-A	3	307	29911081
HLA-A	3	308	29911082
HLA-A	3	309	29911083
HLA-A	3	310	29911084
HLA-A	3	311	29911085
HLA-A	3	312	29911086
HLA-A	3	313	29911087
HLA-A	3	314	29911088
HLA-A	3	315	29911089
HLA-A	3	316	29911090
HLA-A	3	317	29911091
HLA-A	3	318	29911092
HLA-A	3	319	29911093
HLA-A	3	320	29911094
HLA-A	3	321	29911095
HLA-A	3	322	29911096
HLA-A	3	323	29911097
HLA-A	3	324	29911098
HLA-A	3	325	29911099
HLA-A	3	326	29911100
HLA-A	3	327	29911101
HLA-A	3	328	29911102
HLA-A	3	329	29911103
HLA-A	3	330	29911104
HLA-A	3	331	29911105
HLA-A	3	332	29911106
HLA-A	3	333	29911107
HLA-A	3	334	29911108
HLA-A	3	335	29911109
HLA-A	3	336	29911110
HLA-A	3	337	29911111
HLA-A	3	338	29911112
HLA-A	3	339	29911113
HLA-A	3	340	29911114
HLA-A	3	341	29911115
HLA-A	3	342	29911116
HLA-A	3	343	29911117
HLA-A	3	344	29911118
HLA-A	3	345	29911119
HLA-A	3	346	29911120
HLA-A	3	347	29911121
HLA-A	3	348	29911122
HLA-A	3	349	29911123
HLA-A	3	350	29911124
HLA-A	3	351	29911125
HLA-A	3	352	29911126
HLA-A	3	353	29911127
HLA-A	3	354	29911128
HLA-A	3	355	29911129
HLA-A	3	356	29911130
HLA-A	3	357	29911131
HLA-A	3	358	29911132
HLA-A	3	359	29911133
HLA-A	3	360	29911134
HLA-A	3	361	29911135
HLA-A	3	362	29911136
HLA-A	3	363	29911137
HLA-A	3	364	29911138
HLA-A	3	365	29911139
HLA-A	3	366	29911140
HLA-A	3	367	29911141
HLA-A	3	368	29911142
HLA-A	3	369	29911143
HLA-A	3	370	29911144
HLA-A	3	371	29911145
HLA-A	3	372	29911146
HLA-A	3	373	29911147
HLA-A	3	374	29911148
HLA-A	3	375	29911149
HLA-A	3	376	29911150
HLA-A	3	377	29911151
HLA-A	3	378	29911152
HLA-A	3	379	29911153
HLA-A	3	380	29911154
HLA-A	3	381	29911155
HLA-A	3	382	29911156
HLA-A	3	383	29911157
HLA-A	3	384	29911158
HLA-A	3	385	29911159
HLA-A	3	386	29911160
HLA-A	3	387	29911161
HLA-A	3	388	29911162
HLA-A	3	389	29911163
HLA-A	3	390	29911164
HLA-A	3	391	29911165
HLA-A	3	392	29911166
HLA-A	3	393	29911167
HLA-A	3	394	29911168
HLA-A	3	395	29911169
HLA-A	3	396	29911170
HLA-A	3	397	29911171
HLA-A	3	398	29911172
HLA-A	3	399	29911173
HLA-A	3	400	29911174
HLA-A	3	401	29911175
HLA-A	3	402	29911176
HLA-A	3	403	29911177
HLA-A	3	404	29911178
HLA-A	3	405	29911179
HLA-A	3	406	29911180
HLA-A	3	407	29911181
HLA-A	3	408	29911182
HLA-A	3	409	29911183
HLA-A	3	410	29911184
HLA-A	3	411	29911185
HLA-A	3	412	29911186
HLA-A	3	413	29911187
HLA-A	3	414	29911188
HLA-A	3	415	29911189
HLA-A	3	416	29911190
HLA-A	3	417	29911191
HLA-A	3	418	29911192
